filename,width,height,class,xmin,ymin,xmax,ymax
000155de5.jpg,768,768,ship,344,465,448,501
00021ddc3.jpg,768,768,ship,96,705,121,720
00021ddc3.jpg,768,768,ship,123,732,178,768
00021ddc3.jpg,768,768,ship,181,629,187,638
00021ddc3.jpg,768,768,ship,195,661,201,665
0002756f7.jpg,768,768,ship,324,36,351,67
00031f145.jpg,768,768,ship,443,124,472,153
00053c6ba.jpg,768,768,ship,736,124,752,139
0005d01c8.jpg,768,768,ship,72,598,237,739
0005d01c8.jpg,768,768,ship,476,252,556,321
0006c52e8.jpg,768,768,ship,190,197,407,472
000d42241.jpg,768,768,ship,480,583,488,588
000e6378b.jpg,768,768,ship,292,401,325,422
000fd9827.jpg,768,768,ship,69,259,85,276
00113a75c.jpg,768,768,ship,144,273,196,312
00113a75c.jpg,768,768,ship,225,50,290,91
00113a75c.jpg,768,768,ship,513,118,558,159
00113a75c.jpg,768,768,ship,698,41,737,70
001566f7c.jpg,768,768,ship,91,473,273,598
0019fc4d8.jpg,768,768,ship,477,111,592,166
001aee007.jpg,768,768,ship,270,61,327,114
001aee007.jpg,768,768,ship,314,712,384,768
001aee007.jpg,768,768,ship,539,549,608,622
001aee007.jpg,768,768,ship,646,65,768,195
001e418bc.jpg,768,768,ship,158,505,296,631
001eb2794.jpg,768,768,ship,44,682,68,698
001eda01f.jpg,768,768,ship,479,545,492,554
00269a792.jpg,768,768,ship,89,225,163,311
002c62c03.jpg,768,768,ship,639,47,665,62
002c78530.jpg,768,768,ship,336,66,342,73
002c78530.jpg,768,768,ship,418,189,448,210
002d56570.jpg,768,768,ship,543,373,627,411
002deeb16.jpg,768,768,ship,112,415,328,521
002e85393.jpg,768,768,ship,175,141,194,164
002fdcf51.jpg,768,768,ship,345,285,601,435
00319c32d.jpg,768,768,ship,214,481,219,486
003d43308.jpg,768,768,ship,37,544,99,648
003e2c95d.jpg,768,768,ship,217,329,278,349
0040cf4e9.jpg,768,768,ship,447,362,700,455
004141855.jpg,768,768,ship,555,0,671,61
0041d7084.jpg,768,768,ship,20,243,36,261
0041d7084.jpg,768,768,ship,116,140,124,152
0041d7084.jpg,768,768,ship,159,0,166,11
0041d7084.jpg,768,768,ship,213,55,225,70
0041d7084.jpg,768,768,ship,216,227,231,241
004331bef.jpg,768,768,ship,150,652,184,679
004331bef.jpg,768,768,ship,316,564,348,592
0046d5d83.jpg,768,768,ship,22,596,38,614
004bc7ae6.jpg,768,768,ship,7,707,13,722
004bc7ae6.jpg,768,768,ship,448,176,456,190
004d7c73a.jpg,768,768,ship,580,67,608,80
004e68ede.jpg,768,768,ship,668,113,695,144
004f97cfb.jpg,768,768,ship,514,66,533,81
00552a73d.jpg,768,768,ship,236,38,254,46
00552a73d.jpg,768,768,ship,236,47,237,48
00552a73d.jpg,768,768,ship,237,0,426,89
0056d301c.jpg,768,768,ship,348,361,362,367
0056d301c.jpg,768,768,ship,488,606,510,625
0056d301c.jpg,768,768,ship,605,543,687,593
0056fbc62.jpg,768,768,ship,493,46,510,53
005883911.jpg,768,768,ship,13,358,229,425
005a7670a.jpg,768,768,ship,393,440,585,571
005d6a820.jpg,768,768,ship,0,220,93,341
005d6a820.jpg,768,768,ship,450,485,675,606
005d6a820.jpg,768,768,ship,575,627,768,732
005d6a820.jpg,768,768,ship,595,365,763,451
005f02549.jpg,768,768,ship,545,663,563,680
005faf88a.jpg,768,768,ship,108,610,128,635
0060f6de0.jpg,768,768,ship,439,515,599,559
00610229c.jpg,768,768,ship,426,221,438,228
0062ad143.jpg,768,768,ship,348,617,362,623
0064956d4.jpg,768,768,ship,411,743,430,748
0070fe317.jpg,768,768,ship,582,443,593,453
0074d6c72.jpg,768,768,ship,81,526,204,595
007534159.jpg,768,768,ship,232,48,344,124
007534159.jpg,768,768,ship,346,38,406,77
00761707d.jpg,768,768,ship,639,760,646,768
0076e2074.jpg,768,768,ship,369,402,393,422
007b39d27.jpg,768,768,ship,708,37,717,46
007b39d27.jpg,768,768,ship,713,57,724,67
008127d89.jpg,768,768,ship,297,141,319,155
008129422.jpg,768,768,ship,77,459,119,478
008605bcf.jpg,768,768,ship,78,669,169,742
008605bcf.jpg,768,768,ship,608,690,680,759
0086f828b.jpg,768,768,ship,699,336,710,346
008863fe8.jpg,768,768,ship,49,687,70,712
008bc8983.jpg,768,768,ship,420,311,429,318
008be7e31.jpg,768,768,ship,122,200,133,210
008d2170e.jpg,768,768,ship,0,420,101,569
008d2170e.jpg,768,768,ship,253,64,281,118
008d2170e.jpg,768,768,ship,262,46,277,60
008d2170e.jpg,768,768,ship,353,267,387,304
008d2170e.jpg,768,768,ship,670,12,685,58
008fd2b42.jpg,768,768,ship,50,200,66,224
0093754d4.jpg,768,768,ship,222,452,347,505
00975abe1.jpg,768,768,ship,445,698,529,727
0098456ff.jpg,768,768,ship,165,525,287,680
0098456ff.jpg,768,768,ship,595,423,768,648
0098652ab.jpg,768,768,ship,199,466,232,476
0098652ab.jpg,768,768,ship,247,67,282,120
00990fe74.jpg,768,768,ship,644,269,659,288
009c1116c.jpg,768,768,ship,271,689,284,701
009e22bfb.jpg,768,768,ship,319,420,481,457
009eb0e0c.jpg,768,768,ship,499,710,546,742
009eb0e0c.jpg,768,768,ship,641,680,686,712
00a1aab5b.jpg,768,768,ship,453,337,489,363
00a52cd2a.jpg,768,768,ship,491,16,687,170
00a9e2ec9.jpg,768,768,ship,118,37,141,49
00aa60389.jpg,768,768,ship,488,558,538,588
00aa60389.jpg,768,768,ship,674,394,715,417
00aa8bc42.jpg,768,768,ship,444,56,482,141
00abc623a.jpg,768,768,ship,254,573,352,768
00abc623a.jpg,768,768,ship,369,0,472,163
00b0fa633.jpg,768,768,ship,302,357,333,439
00b0fa633.jpg,768,768,ship,479,103,494,117
00b21150c.jpg,768,768,ship,504,611,768,712
00b3e6991.jpg,768,768,ship,729,647,754,678
00b872d8e.jpg,768,768,ship,357,343,367,354
00bc708e0.jpg,768,768,ship,428,296,510,353
00be4edfb.jpg,768,768,ship,58,559,99,588
